radio;mnc;lon;lat;created
3G;Claro;-79.924301;-3.282578;1358568819
3G;Claro;-79.903393;-2.17701;1361669799
3G;Claro;-79.901766;-2.168982;1361669799
2G;Claro;-79.91066;-2.179184;1361670393
3G;Claro;-79.928146;-2.138626;1362690355
3G;Claro;-79.927597045898;-2.1375274658203;1362670532
3G;Claro;-79.856272;-2.078218;1362849948
3G;Claro;-79.031456;-2.899429;1363406101
3G;Claro;-78.473557;-0.13884;1363640553
2G;Claro;-78.47288;-0.138417;1363369026
2G;Claro;-78.470192;-0.137844;1363369052
3G;Claro;-78.47374;-0.137558;1363640553
3G;Claro;-78.469986;-0.140854;1363640553
3G;Claro;-78.467789;-0.145367;1363640553
3G;Claro;-78.467464;-0.162698;1363640553
3G;Claro;-78.468915;-0.164681;1363640553
3G;Claro;-78.471359;-0.164484;1363640553
3G;Claro;-78.469161987305;-0.16410827636719;1363515598
3G;Claro;-78.468288;-0.165482;1363519118
2G;Claro;-78.469711;-0.164932;1363511048
2G;Claro;-78.469849;-0.164108;1363371707
3G;Claro;-78.476028;-0.169013;1363372346
3G;Claro;-78.476715;-0.173035;1363372358
2G;Claro;-78.475113;-0.174942;1363640559
2G;Claro;-78.4784;-0.17497;1363640559
2G;Claro;-78.478458;-0.177524;1363640559
3G;Claro;-78.477401733398;-0.17646789550781;1363372419
3G;Claro;-78.478703;-0.176612;1363640559
2G;Claro;-78.477951;-0.181137;1363640559
3G;Claro;-78.478775;-0.181046;1363372529
3G;Claro;-78.479462;-0.182648;1363372545
3G;Claro;-78.477794;-0.184511;1363640559
3G;Claro;-78.479756;-0.184904;1363640559
3G;Claro;-78.47956;-0.186669;1363640559
3G;Claro;-78.479462;-0.187683;1363640559
3G;Claro;-78.483468;-0.187073;1363640559
3G;Claro;-78.479664;-0.189146;1363640559
3G;Claro;-78.482701;-0.191625;1363640559
3G;Claro;-78.481666;-0.192225;1363640559
3G;Claro;-78.483673;-0.196884;1363640559
3G;Claro;-78.484268;-0.204849;1363640559
2G;Claro;-78.485347;-0.197819;1363640559
2G;Claro;-78.485931;-0.201259;1363640559
3G;Claro;-78.484496;-0.201833;1363640559
3G;Claro;-78.487564;-0.205856;1363640559
3G;Claro;-78.488388;-0.20132;1363640559
3G;Claro;-78.489411;-0.201079;1363640559
3G;Claro;-78.490963;-0.200415;1363640559
3G;Claro;-78.49207;-0.202736;1363640559
3G;Claro;-78.494022;-0.200905;1363640559
3G;Claro;-78.461975;-0.074862;1363640559
3G;Claro;-78.465088;-0.075394;1363640559
3G;Claro;-78.462295532227;-0.074844360351562;1363381464
3G;Claro;-78.467331;-0.074158;1363640564
3G;Claro;-78.474655;-0.086517;1363385485
3G;Claro;-78.476212;-0.096359;1363385558
3G;Claro;-78.471909;-0.092599;1363640564
3G;Claro;-78.47053527832;-0.094070434570312;1363385619
3G;Claro;-78.467789;-0.097544;1363640564
2G;Claro;-78.465543;-0.096406;1363640564
2G;Claro;-78.452866;-0.101613;1363640564
3G;Claro;-78.458267;-0.111923;1363640564
3G;Claro;-78.459549;-0.109177;1363385817
3G;Claro;-78.452911;-0.11673;1363385986
3G;Claro;-78.448391;-0.122051;1363386027
3G;Claro;-78.448563;-0.11467;1363640564
3G;Claro;-78.44814;-0.131783;1363386106
3G;Claro;-78.444443;-0.142021;1363386170
3G;Claro;-78.452366;-0.149425;1363386311
3G;Claro;-78.467636;-0.15241;1363640564
3G;Claro;-78.470535;-0.154037;1363386455
3G;Claro;-78.474165;-0.153612;1363640564
3G;Claro;-78.471909;-0.151138;1363640564
2G;Claro;-78.506653;-0.245132;1363424961
3G;Claro;-78.507414;-0.241345;1363640564
3G;Claro;-78.508837;-0.239127;1363640570
3G;Claro;-78.508055;-0.233104;1363640570
3G;Claro;-78.506869;-0.232849;1363640570
3G;Claro;-78.510326;-0.240025;1363640570
3G;Claro;-78.503807;-0.231859;1363640570
3G;Claro;-78.507268;-0.230798;1363640570
3G;Claro;-78.4972;-0.228714;1363640570
3G;Claro;-78.489522;-0.22462;1363640570
3G;Claro;-78.4893;-0.220751;1363640570
3G;Claro;-78.48463;-0.210583;1363640570
