Name,longitude,latitude,Kapasiteet
Pihlajamäki,25.0103139042596,60.2345785634218,16
Viikki Science Park,25.0100484016428,60.2275394155784,28
Viikki Teacher Training School,25.0275940265593,60.2274649666156,20
Agronominkatu,25.0328574018929,60.23405300211049,24
Von Daehnin katu,25.0436178847114,60.2303443513437,14
Mustikkamaa,24.992105405271,60.181844391759,20
Relanderinaukio,25.0058079125449,60.1858547331594,16
Kulosaari (M),25.0064636871854,60.1889293103178,20
Tupasaarentie,25.0153289779219,60.1878871226314,12
Haakoninlahdenkatu,25.0208609553502,60.1688685506822,16
Gunillantie,25.0330122371046,60.1719938510831,16
Isosaarentie,25.0450147987503,60.1755054994249,14
Reiherintie,25.0474962642387,60.1677304952092,12
Laajasalo shopping center,25.0519120121374,60.1800091502319,16
Humalniementie,25.0530603555751,60.1837062881609,14
Tammisalon aukio,25.0610604378889,60.1916636460758,20
Agnetankuja,25.0365006704009,60.1872113457581,16
Laivalahden puistotie,25.0313242435422,60.1879616899796,16
Herttoniemenranta,25.0261074895481,60.1902241178364,14
Margareetankuja,25.0372267110383,60.1910267485051,14
Abraham Wetterin tie,25.0426533906378,60.19276619949989,16
Petter Wetterin tie,25.0310806077186,60.1931499986426,20
Herttoniemi (M),25.0289074357313,60.1946246004701,24
Asentajanpuisto,25.0424582865295,60.1991534842401,16
Siilitie (M),25.0451499077688,60.2059412826664,22
Herttoniemi Church,25.0322254160118,60.1984720937284,16
Eränkävijäntori,25.0336255327162,60.2045796219055,16
Siilitie 9,25.0375268074421,60.209453145538,16
Siilitie 13,25.0438403800837,60.2150936967815,14
Roihupelto,25.0550878014734,60.2093671231044,16
Porolahti school,25.0535809447117,60.1955233353498,14
Peukaloisentie,25.0585469211702,60.1987082869369,12
Tulisuontie,25.0600755207072,60.2020741769704,16
Prinsessantie,25.059863346683,60.2062943134753,16
Marjaniementie,25.076069360708,60.20432488410611,16
Voikukantie,25.0867813029403,60.2090159546746,16
Itäkeskus (M),25.0759744433382,60.2096186210914,28
Puotinharju,25.0824161004374,60.2125560259595,24
Marjaniemi,25.0863443649103,60.2036199297435,14
Puotilantie,25.1004180257133,60.2090787864561,14
Puotinkylä Manor,25.1062099916086,60.2125374414988,16
Puotila shopping center,25.0955595128971,60.2127005636951,14
Puotila (M),25.0910915854205,60.2148242972699,20
Karhulantie,25.1022019197012,60.2187064270041,12
Alakiventie,25.0772822325582,60.2198397844715,14
Myllypuro (M),25.0753901685843,60.2240882550803,28
Orpaanporras,25.0654178214231,60.22354882948,14
Mamsellimyllynkatu,25.0591030723076,60.2182457763173,16
Vallilan varikko,24.9628231422149,60.1952459460233,20
Itäkeskus Metrovarikko,25.0657818190343,60.2114607347613,16
Koskelan varikko,24.9698571193553,60.2125872907979,16
Korkeasaari,24.9825269338023,60.1799061320186,16
Postipuisto,24.9337369553808,60.2203012590912,18
Aurinkotuulenkatu,25.1593463483962,60.202773395376,30
Sumukuja,25.1584093750563,60.20544673152929,18
Leikosaarentie,25.1515462608624,60.20468129587191,16
Aurinkolahdenaukio,25.1501135293384,60.2011360782064,24
Kalkkihiekantie,25.1430402936212,60.202124196154,16
Shopping Center Columbus,25.1455043565057,60.2063719022092,20
Vuosaaren liikuntapuisto,25.1534645734222,60.2122976062757,18
Mosaiikkitori,25.143852587603,60.2079753561922,24
Kaivonkatsojanpuisto,25.1359993335263,60.2044047701442,18
Halkaisijantie,25.1279098203443,60.2023869312805,18
Ramsinniementie,25.1199060794359,60.1995636503578,18
Meri-Rastilan tori,25.1194224144705,60.2041542257304,16
Rastila (M),25.1201408621083,60.2055354689175,16
Lokitie,25.1365036011866,60.2095580685415,18
Punakiventie,25.1467500568672,60.2140014852962,16
Haapasaarentie,25.146787178183,60.2187766341847,18
Vuosaaren puistopolku,25.1410953624725,60.221320897051,14
Purjetie,25.1338286912921,60.2196483224979,18
Koukkusaarentie,25.1342325127583,60.213980722047,16
Vartioharjuntie,25.110914414719,60.2208894708644,14
Rukatunturintie,25.1275969785102,60.2312813452731,14
Sallatunturintie,25.118300016596,60.2367409143469,16
Mellunmäki (M),25.1098747367064,60.2385353540219,20
Sinkilätie,25.1110602327979,60.2329614527257,16
Humikkalankuja,25.0900641525363,60.2298249948271,16
Lallukankuja,25.082971174464,60.2235265780465,12
Kurkimäki,25.0716416497357,60.2282903943644,16
Kontula (M),25.0826095549619,60.2360953526154,20
Tuukkalantie,25.1007232150956,60.2388442456374,16
Lettopolku,25.0855297731565,60.240913939764,16
Kontulankaari,25.076226580763,60.2438416352054,16
Kivikonkaari,25.0746433427518,60.2399042915928,14
Varustuksentie,25.0668572558023,60.2391310073666,14
Kurkimäentie,25.0626083649392,60.2331943880568,16
Kivikonlaita,25.0549152254879,60.230462178329,16
Kivikko sports park,25.0524695830581,60.23703581972,16
Jakomäentie,25.0743775866131,60.2537712252939,16
Jakomäki,25.0759055985793,60.26101941041549,16
Alppikylä,25.0648942053969,60.259431119227,14
Heikinlaakso,25.0727127107009,60.2701965544061,16
Puistolan VPK,25.0575355661699,60.2700856600164,18
Puistolantori,25.0458546004102,60.2743699271658,12
Puistolan asema,25.0343501212405,60.2751896029642,16
Maatullinkuja,25.0246919817259,60.27623678926889,18
Sateenkaarentie,25.0110629825049,60.2807560752423,18
Siltamäki,24.9893966166804,60.2744670938261,12
Töyrynummentie,25.0039702918602,60.2719623839468,16
Töyrynummi,24.9929902179008,60.2671467662216,14
Kotinummentie,25.0135723691851,60.2675063004499,16
Porvarintie,25.032655333,60.27189034,16
Helluntairaitti,25.0368876017095,60.2632142978322,20
Tapanila railway station,25.0281239739891,60.2633039538104,12
Saniaiskuja,25.0290905800296,60.25909156602,16
Halmetie,25.0176577469294,60.2609068068142,16
Laulurastaantie,25.0033102423416,60.2608846521727,14
Vanha Tapanilantie,24.9897538768656,60.2596990442275,16
Syystie,24.9986055764439,60.256671174374,18
Malmi Hospital,25.0028280196256,60.2541586216461,16
Malmi railway station,25.0091215694658,60.2523255258372,24
Huhtakuja,25.0131080169475,60.2575633298897,16
Teerisuontie,25.0214900833646,60.2533940877891,14
Ala-Malmin tori,25.0132371443462,60.2503063500603,20
Väärämäentie,25.0297267023462,60.2426928298539,12
Karviaistie,25.0078604417066,60.2468453049551,16
Tilketori,25.0039930501515,60.2498265610789,20
Karhusuontie,24.9870649315623,60.2517795830055,14
Jokipellontie,24.9833214791834,60.2452177923159,16
Pukinmäki sports park,24.9917239060614,60.2477323351629,14
Pukinmäki railway station,24.9939952300621,60.2430864481668,16
Rapakiventie,25.0013676173171,60.2393196827549,16
Tollinpolku,24.8677110166808,60.245908525041,12
Mikkolantie,24.9715442521575,60.2355666358133,16
Etupellonpuisto,24.95944937493,60.2419862673955,18
Piikintie,24.9581440446396,60.2488559062646,12
Torpparinmäentie,24.9447682689237,60.2568807091704,14
Paloheinän kirjasto,24.9416682057603,60.2495097085073,18
Paloheinän maja,24.9183008944604,60.2552356088463,20
Paloheinäntie,24.9238580658345,60.2469918098113,16
Pirkkolan liikuntapuisto,24.9097508532821,60.232734803775,14
Maununneva,24.8989998259643,60.2444085812279,14
Ulappasilta,25.1410458716813,60.2066160428581,18
Hakuninmaa,24.8970699007855,60.252967146995,16
Kuninkaantammi,24.892757395895,60.259256054776,20
Kalannintie,24.8841075429141,60.25280663239771,14
Kannelmäen liikuntapuisto,24.8788004950615,60.2437463425961,16
Pajupillintie,24.8861026255016,60.2432353029777,16
Shopping Center Kaari,24.8894796721591,60.2363305501839,16
Kaustisentie,24.8814517125501,60.2378065223104,16
Kannelmäki railway station,24.8766472489767,60.2393459909658,20
Savela,24.9913872585832,60.2404948542171,14
